Inventory_ID,Medicine_ID,Batch_Number,Manufacturing_Date,Expiry_Date,Current_Stock,Minimum_Stock_Level,Reorder_Level,Stock_Status
I0001,M001,B13278,2025-01-25,2026-10-02,114,24,62,In Stock
I0002,M001,B23434,2024-04-23,2025-07-21,216,21,36,In Stock
I0003,M002,B38657,2025-03-09,2027-08-08,13,37,58,Low Stock
I0004,M002,B95181,2024-04-23,2026-06-26,112,34,67,In Stock
I0005,M003,B10851,2025-05-23,2028-05-06,216,30,53,In Stock
I0006,M003,B30379,2025-03-27,2027-03-06,52,22,49,In Stock
I0007,M003,B22676,2024-10-31,2026-10-18,135,45,61,In Stock
I0008,M003,B70217,2024-05-02,2025-09-06,193,22,54,In Stock
I0009,M004,B92397,2024-02-08,2026-02-12,295,26,63,In Stock
I0010,M004,B19116,2025-09-17,2028-07-25,116,44,68,In Stock
I0011,M004,B20458,2025-03-09,2026-06-20,194,28,57,In Stock
I0012,M004,B93320,2024-10-25,2026-04-09,189,31,52,In Stock
I0013,M005,B99593,2025-08-21,2028-05-05,87,37,75,In Stock
I0014,M005,B42087,2025-05-19,2027-09-04,194,28,63,In Stock
I0015,M005,B83000,2025-03-23,2028-02-22,166,46,85,In Stock
I0016,M005,B17331,2025-03-13,2026-04-14,161,32,55,In Stock
I0017,M006,B37653,2024-04-01,2026-02-17,108,40,70,In Stock
I0018,M006,B61856,2024-07-21,2025-12-14,135,24,46,In Stock
I0019,M007,B86622,2024-08-21,2027-04-10,204,31,53,In Stock
I0020,M007,B28131,2024-05-30,2026-10-17,46,44,60,In Stock
I0021,M007,B24371,2025-05-30,2028-03-02,81,45,81,In Stock
I0022,M007,B65333,2024-03-02,2025-05-06,197,32,66,In Stock
I0023,M008,B79352,2025-02-18,2027-09-07,5,41,79,Low Stock
I0024,M008,B25014,2024-05-02,2026-01-30,174,23,47,In Stock
I0025,M008,B66985,2025-05-25,2027-09-01,1,50,88,Low Stock
I0026,M008,B44522,2024-06-08,2025-12-07,259,49,67,In Stock
I0027,M008,B91959,2025-01-01,2027-10-17,259,39,60,In Stock
I0028,M009,B59009,2025-05-21,2027-11-24,271,49,64,In Stock
I0029,M009,B88504,2024-12-06,2027-04-20,9,23,49,Low Stock
I0030,M009,B50306,2025-03-02,2026-04-30,123,48,81,In Stock
I0031,M010,B21226,2024-06-23,2025-09-01,272,44,63,In Stock
I0032,M010,B26828,2024-07-04,2027-01-17,84,28,59,In Stock
I0033,M011,B37760,2024-04-29,2027-04-05,102,42,66,In Stock
I0034,M011,B62296,2024-10-16,2027-01-07,264,34,52,In Stock
I0035,M011,B42493,2025-03-17,2026-05-21,173,20,53,In Stock
I0036,M011,B82603,2025-03-12,2027-11-04,112,20,37,In Stock
I0037,M011,B92719,2025-09-03,2027-04-25,34,48,64,Low Stock
I0038,M012,B19287,2024-05-25,2026-01-23,142,41,71,In Stock
I0039,M012,B38080,2024-04-29,2025-09-11,292,38,68,In Stock
I0040,M012,B41850,2024-07-06,2026-08-26,97,23,41,In Stock
I0041,M012,B96374,2024-08-18,2026-08-15,216,33,62,In Stock
I0042,M013,B98259,2025-07-25,2026-09-25,206,43,68,In Stock
I0043,M013,B24322,2025-02-21,2026-09-05,97,37,66,In Stock
I0044,M014,B65296,2025-04-29,2027-02-08,236,27,44,In Stock
I0045,M014,B68082,2024-04-18,2025-07-27,25,40,72,Low Stock
I0046,M014,B11934,2025-07-30,2027-03-29,85,33,63,In Stock
I0047,M015,B38016,2024-09-18,2025-11-17,84,32,47,In Stock
I0048,M015,B61173,2025-02-04,2027-05-15,146,33,70,In Stock
I0049,M015,B82845,2024-06-22,2025-11-27,97,29,50,In Stock
I0050,M015,B17665,2024-03-19,2026-09-25,31,43,68,Low Stock
I0051,M015,B17492,2025-09-12,2028-05-02,244,36,67,In Stock
I0052,M016,B17455,2024-05-31,2025-08-21,95,22,56,In Stock
I0053,M016,B18907,2025-03-07,2027-04-24,61,50,83,In Stock
I0054,M016,B42271,2024-03-20,2026-11-18,20,39,56,Low Stock
I0055,M017,B96163,2024-03-15,2026-10-14,267,30,53,In Stock
I0056,M017,B36772,2024-12-16,2026-08-17,135,32,51,In Stock
I0057,M017,B98039,2024-12-30,2027-04-12,161,49,88,In Stock
I0058,M017,B19508,2025-10-24,2028-02-05,288,23,40,In Stock
I0059,M017,B80468,2025-03-29,2027-08-29,135,24,50,In Stock
I0060,M018,B42018,2024-10-20,2026-08-07,80,34,66,In Stock
I0061,M018,B49651,2024-02-15,2026-12-15,270,20,56,In Stock
I0062,M019,B96951,2025-07-19,2026-12-03,135,23,41,In Stock
I0063,M019,B82512,2025-05-27,2027-03-01,144,39,60,In Stock
I0064,M019,B54942,2025-04-08,2028-03-11,135,36,66,In Stock
I0065,M019,B42914,2025-09-11,2026-12-14,216,46,69,In Stock
I0066,M020,B10464,2024-11-26,2026-04-08,134,25,63,In Stock
I0067,M020,B67912,2024-04-17,2027-04-09,218,37,52,In Stock
